# Funput English lexicon: word<TAB>rank, most frequent first. Generated; do not edit.
# Words: SCOWL/ESDB size 60, American. Ranking: Google Books Ngram v3, 2000-2019.
# Attribution: NOTICE.md. Regenerate: crates/funput-lexicon-tool/README.md.
fear	975
produced	976
memory	977
introduction	978
independent	979
success	980
saying	981
author	982
library	983
actions	984
worked	985
traditional	986
determine	987
schools	988
passed	989
differences	990
numbers	991
develop	992
observed	993
lack	994
failure	995
learn	996
game	997
employees	998
anyone	999
laws	1000
German	1001
drug	1002
immediately	1003
mouth	1004
includes	1005
economy	1006
hour	1007
blue	1008
contract	1009
placed	1010
identity	1011
speak	1012
negative	1013
April	1014
bill	1015
multiple	1016
eye	1017
file	1018
factor	1019
film	1020
obtained	1021
initial	1022
December	1023
functions	1024
politics	1025
allowed	1026
require	1027
importance	1028
boy	1029
William	1030
internal	1031
operation	1032
compared	1033
iii	1034
born	1035
write	1036
January	1037
task	1038
measures	1039
persons	1040
employment	1041
sir	1042
walked	1043
gas	1044
christian	1045
operations	1046
ago	1047
credit	1048
properties	1049
annual	1050
opened	1051
giving	1052
decided	1053
peace	1054
equipment	1055
September	1056
heat	1057
plant	1058
strategy	1059
sun	1060
brother	1061
discussed	1062
secretary	1063
equal	1064
capacity	1065
Indian	1066
clinical	1067
larger	1068
opportunity	1069
practices	1070
wrote	1071
please	1072
African	1073
faith	1074
carried	1075
search	1076
closed	1077
becomes	1078
daily	1079
window	1080
otherwise	1081
sample	1082
stand	1083
standing	1084
brown	1085
skin	1086
changed	1087
extent	1088
reasons	1089
built	1090
stock	1091
apply	1092
produce	1093
seven	1094
moving	1095
skills	1096
organizations	1097
highly	1098
certainly	1099
brain	1100
chief	1101
nation	1102
round	1103
appears	1104
October	1105
strength	1106
institutions	1107
running	1108
manner	1109
George	1110
trial	1111
die	1112
follows	1113
Christ	1114
examples	1115
applications	1116
reports	1117
whatever	1118
supply	1119
cover	1120
transfer	1121
insurance	1122
collection	1123
measure	1124
unless	1125
weeks	1126
nearly	1127
requires	1128
noted	1129
steps	1130
died	1131
purposes	1132
sex	1133
exercise	1134
places	1135
park	1136
returned	1137
teaching	1138
freedom	1139
families	1140
Chinese	1141
husband	1142
institute	1143
sales	1144
instance	1145
month	1146
efforts	1147
alternative	1148
existing	1149
hospital	1150
benefit	1151
hundred	1152
useful	1153
yourself	1154
neither	1155
gives	1156
easily	1157
claims	1158
balance	1159
meant	1160
demand	1161
mental	1162
interests	1163
mail	1164
serious	1165
officer	1166
female	1167
reality	1168
stress	1169
principles	1170
style	1171
popular	1172
remain	1173
leading	1174
tree	1175
division	1176
check	1177
California	1178
identified	1179
occur	1180
actual	1181
none	1182
explain	1183
showed	1184
caused	1185
regional	1186
teachers	1187
covered	1188
Robert	1189
policies	1190
France	1191
designed	1192
sexual	1193
ones	1194
relationships	1195
arm	1196
fully	1197
goods	1198
increasing	1199
index	1200
growing	1201
definition	1202
technical	1203
appeared	1204
moral	1205
Thomas	1206
begin	1207
motion	1208
relation	1209
relative	1210
august	1211
master	1212
sector	1213
offered	1214
relevant	1215
developing	1216
talking	1217
happy	1218
congress	1219
setting	1220
Africa	1221
remains	1222
cancer	1223
color	1224
rise	1225
raised	1226
Cambridge	1227
effort	1228
location	1229
commercial	1230
sort	1231
description	1232
plans	1233
thank	1234
separate	1235
charge	1236
hot	1237
records	1238
picture	1239
male	1240
pulled	1241
completely	1242
urban	1243
avoid	1244
teacher	1245
lived	1246
chance	1247
domestic	1248
uses	1249
structures	1250
procedure	1251
successful	1252
conflict	1253
glass	1254
decisions	1255
reduced	1256
religion	1257
walk	1258
ensure	1259
sleep	1260
variety	1261
path	1262
holding	1263
contrast	1264
conference	1265
eight	1266
industrial	1267
evaluation	1268
circumstances	1269
serve	1270
reach	1271
hall	1272
characteristics	1273
scientific	1274
firm	1275
November	1276
oxford	1277
projects	1278
older	1279
pattern	1280
internet	1281
concerned	1282
stopped	1283
island	1284
principle	1285
onto	1286
sign	1287
visit	1288
images	1289
funds	1290
bar	1291
aspects	1292
suddenly	1293
receive	1294
overall	1295
suggested	1296
message	1297
learned	1298
daughter	1299
Mary	1300
essential	1301
corporation	1302
drive	1303
units	1304
regarding	1305
beautiful	1306
user	1307
smile	1308
procedures	1309
exactly	1310
identify	1311
relatively	1312
summer	1313
responsibility	1314
frequency	1315
reduce	1316
responsible	1317
miles	1318
speech	1319
marriage	1320
opinion	1321
upper	1322
perspective	1323
race	1324
desire	1325
providing	1326
survey	1327
existence	1328
communities	1329
objects	1330
request	1331
nations	1332
connection	1333
violence	1334
techniques	1335
constant	1336
spent	1337
fund	1338
Germany	1339
attempt	1340
foundation	1341
therapy	1342
prepared	1343
fast	1344
heavy	1345
argument	1346
names	1347
fell	1348
pass	1349
target	1350
Canada	1351
components	1352
waiting	1353
assistance	1354
progress	1355
fixed	1356
electronic	1357
miss	1358
goes	1359
speed	1360
peter	1361
remained	1362
mentioned	1363
